event_type,current_char,timestamp,current_word,current_word_time,current_sentence,current_sentence_time,complete_text,current_complete_time,sentence_num,technique_used,participant_id
key pressed,"S",1559749526.894927,"S",0.0,"S",0.0,"S",0.0,1,none,2
key pressed,"y",1559749527.161862,"Sy",0.266934871673584,"Sy",0.266934871673584,"Sy",0.266934871673584,1,none,2
key pressed,"l",1559749527.406655,"Syl",0.511728048324585,"Syl",0.511728048324585,"Syl",0.511728048324585,1,none,2
key pressed,"i",1559749527.64293,"Syli",0.7480030059814453,"Syli",0.7480030059814453,"Syli",0.7480030059814453,1,none,2
key pressed,"v",1559749527.9820201,"Syliv",1.0870931148529053,"Syliv",1.0870931148529053,"Syliv",1.0870931148529053,1,none,2
key pressed,"a",1559749528.2005088,"Syliva",1.30558180809021,"Syliva",1.30558180809021,"Syliva",1.30558180809021,1,none,2
key pressed,"SPACE",1559749528.470657,"Syliva",1.5757300853729248,"Syliva ",1.5757300853729248,"Syliva ",1.5757300853729248,1,none,2
word typed,"SPACE",1559749528.470657,"Syliva",1.5757300853729248,"Syliva ",1.5757300853729248,"Syliva ",1.5757300853729248,1,False,2
key pressed,"q",1559749529.4367292,"q",0.0,"Syliva q",2.541802167892456,"Syliva q",2.541802167892456,1,none,2
key pressed,"SPACE",1559749529.787689,"Syliva",0.35095977783203125,"Syliva ",2.8927619457244873,"Syliva ",2.8927619457244873,1,none,2
word typed,"SPACE",1559749529.787689,"Syliva",0.35095977783203125,"Syliva ",2.8927619457244873,"Syliva ",2.8927619457244873,1,False,2
key pressed,"w",1559749529.9067562,"w",0.0,"Syliva w",3.011829137802124,"Syliva w",3.011829137802124,1,none,2
key pressed,"a",1559749530.123889,"wa",0.2171328067779541,"Syliva wa",3.228961944580078,"Syliva wa",3.228961944580078,1,none,2
key pressed,"g",1559749530.499712,"wag",0.5929558277130127,"Syliva wag",3.6047849655151367,"Syliva wag",3.6047849655151367,1,none,2
key pressed,"t",1559749530.8348422,"wagt",0.9280860424041748,"Syliva wagt",3.939915180206299,"Syliva wagt",3.939915180206299,1,none,2
key pressed,"SPACE",1559749531.0127099,"wagt",1.1059536933898926,"Syliva wagt ",4.117782831192017,"Syliva wagt ",4.117782831192017,1,none,2
word typed,"SPACE",1559749531.0127099,"wagt",1.1059536933898926,"Syliva wagt ",4.117782831192017,"Syliva wagt ",4.117782831192017,1,False,2
key pressed,"q",1559749531.646733,"q",0.0,"Syliva wagt q",4.751806020736694,"Syliva wagt q",4.751806020736694,1,none,2
key pressed,"u",1559749531.860269,"qu",0.21353602409362793,"Syliva wagt qu",4.965342044830322,"Syliva wagt qu",4.965342044830322,1,none,2
key pressed,"o",1559749532.311882,"quo",0.6651489734649658,"Syliva wagt quo",5.41695499420166,"Syliva wagt quo",5.41695499420166,1,none,2
key pressed,"u",1559749532.8070168,"qu",1.1602838039398193,"Syliva wagt qu",5.912089824676514,"Syliva wagt qu",5.912089824676514,1,none,2
key pressed,"i",1559749533.0107038,"qui",1.3639707565307617,"Syliva wagt qui",6.115776777267456,"Syliva wagt qui",6.115776777267456,1,none,2
key pressed,"c",1559749533.1545038,"quic",1.5077707767486572,"Syliva wagt quic",6.259576797485352,"Syliva wagt quic",6.259576797485352,1,none,2
