event_type,current_char,timestamp,current_word,current_word_time,current_sentence,current_sentence_time,complete_text,current_complete_time,sentence_num,technique_used,autocompletion,participant_id
key pressed,J,1559750221.022987,J,0.0,J,0.0,J,0.0,1,none,False,3
key pressed,e,1559750221.198983,Je,0.1759960651397705,Je,0.1759960651397705,Je,0.1759960651397705,1,none,False,3
key pressed,d,1559750221.3670762,Jed,0.3440892696380615,Jed,0.3440892696380615,Jed,0.3440892696380615,1,none,False,3
key pressed,e,1559750221.511273,Jede,0.48828601837158203,Jede,0.48828601837158203,Jede,0.48828601837158203,1,none,False,3
key pressed,r,1559750221.583166,Jeder,0.5601789951324463,Jeder,0.5601789951324463,Jeder,0.5601789951324463,1,none,False,3
key pressed,SPACE,1559750221.703146,Jeder,0.6801590919494629,Jeder ,0.6801590919494629,Jeder ,0.6801590919494629,1,none,False,3
word typed,SPACE,1559750221.703146,Jeder,0.6801590919494629,Jeder ,0.6801590919494629,Jeder ,0.6801590919494629,1,False,False,3
key pressed,w,1559750221.9991958,w,0.0,Jeder w,0.9762089252471924,Jeder w,0.9762089252471924,1,none,False,3
key pressed,a,1559750222.151118,wa,0.15192222595214844,Jeder wa,1.1281311511993408,Jeder wa,1.1281311511993408,1,none,False,3
key pressed,c,1559750222.286995,wac,0.2877991199493408,Jeder wac,1.2640080451965332,Jeder wac,1.2640080451965332,1,none,False,3
key pressed,k,1559750222.543274,wack,0.5440781116485596,Jeder wack,1.520287036895752,Jeder wack,1.520287036895752,1,none,False,3
key pressed,e,1559750222.671134,wacke,0.6719381809234619,Jeder wacke,1.6481471061706543,Jeder wacke,1.6481471061706543,1,none,False,3
key pressed,r,1559750222.798979,wacker,0.7997832298278809,Jeder wacker,1.7759921550750732,Jeder wacker,1.7759921550750732,1,none,False,3
key pressed,e,1559750222.9111528,wackere,0.9119570255279541,Jeder wackere,1.8881659507751465,Jeder wackere,1.8881659507751465,1,none,False,3
key pressed,SPACE,1559750223.0551329,wackere,1.0559370517730713,Jeder wackere ,2.0321459770202637,Jeder wackere ,2.0321459770202637,1,none,False,3
word typed,SPACE,1559750223.0551329,wackere,1.0559370517730713,Jeder wackere ,2.0321459770202637,Jeder wackere ,2.0321459770202637,1,False,False,3
key pressed,B,1559750223.311279,B,0.0,Jeder wackere B,2.288292169570923,Jeder wackere B,2.288292169570923,1,none,False,3
key pressed,a,1559750223.463198,Ba,0.15191888809204102,Jeder wackere Ba,2.440211057662964,Jeder wackere Ba,2.440211057662964,1,none,False,3
